starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2020-08-01 00:00:49.5440,2020-08-01 00:03:59.3420,3454,Leonard St & Maujer St,40.7103685423523,-73.9470595121384,3069,Lorimer St & Broadway,40.70411791,-73.94818595,41147,Subscriber,1982,1
2020-08-01 00:00:50.8260,2020-08-01 00:21:58.1520,3052,Lewis Ave & Madison St,40.686312,-73.935775,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,41875,Subscriber,1985,2
2020-08-01 00:00:52.2150,2020-08-01 00:37:49.7130,3579,Sterling Pl & Bedford Ave,40.672695,-73.954131,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,43640,Customer,1994,2
2020-08-01 00:00:52.2600,2020-08-01 00:14:22.0740,3304,6 Ave & 9 St,40.668127,-73.98377641,3396,Clinton St & 4 Place,40.6783563,-74.00014502,36284,Subscriber,1991,1
2020-08-01 00:00:54.6190,2020-08-01 00:19:05.3550,128,MacDougal St & Prince St,40.72710258,-74.00297088,412,Forsyth St & Canal St,40.7158155,-73.99422366,18404,Customer,1987,1
2020-08-01 00:00:54.9270,2020-08-01 01:35:02.1880,508,W 46 St & 11 Ave,40.76341379,-73.99667444,3699,W 50 St & 9 Ave,40.7636046779586,-73.9891795814037,17310,Customer,1996,1
2020-08-01 00:00:55.8130,2020-08-01 00:09:40.8400,3116,Huron St & Franklin St,40.73266,-73.95826,3727,Frost St & Meeker Ave,40.7176619708399,-73.948800265789,14693,Customer,1983,2
2020-08-01 00:00:57.0140,2020-08-01 00:08:30.1620,3134,3 Ave & E 62 St,40.76312584,-73.96526895,3137,5 Ave & E 73 St,40.77282817,-73.96685276,28675,Subscriber,1965,1
2020-08-01 00:00:57.1890,2020-08-01 00:20:27.6250,3244,University Pl & E 8 St,40.7314372408523,-73.9949034154415,363,West Thames St,40.70834698,-74.01713445,40404,Customer,1991,1
2020-08-01 00:00:58.8680,2020-08-01 00:02:00.6310,3077,Stagg St & Union Ave,40.70877084,-73.95095259,3077,Stagg St & Union Ave,40.70877084,-73.95095259,41364,Subscriber,1987,1
2020-08-01 00:01:00.0610,2020-08-01 00:16:57.3740,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,3761,Cedar St & Myrtle Ave,40.697842,-73.926241,24737,Customer,1969,0
2020-08-01 00:01:00.9200,2020-08-01 00:07:50.0540,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,3092,Berry St & N 8 St,40.7190095,-73.95852515,38121,Subscriber,1976,1
2020-08-01 00:01:01.2720,2020-08-01 00:38:19.3390,3790,Henry St & Middagh St,40.7003,-73.991581,3790,Henry St & Middagh St,40.7003,-73.991581,41075,Customer,1990,2
2020-08-01 00:01:02.3840,2020-08-01 00:10:50.4870,3822,Bushwick Ave & Forrest St,40.70076,-73.93641,3077,Stagg St & Union Ave,40.70877084,-73.95095259,29904,Customer,1997,2
2020-08-01 00:01:02.5690,2020-08-01 00:11:40.1370,389,Broadway & Berry St,40.71044554,-73.96525063,3096,Union Ave & N 12 St,40.71924,-73.95242,17736,Subscriber,1994,1
2020-08-01 00:01:04.3290,2020-08-01 00:23:30.7490,249,Harrison St & Hudson St,40.71870987,-74.0090009,476,E 31 St & 3 Ave,40.74394314,-73.97966069,26586,Subscriber,1986,2
2020-08-01 00:01:05.4990,2020-08-01 00:45:46.0780,3122,48 Ave & 5 St,40.7443632870669,-73.9558732509613,3115,India St & Manhattan Ave,40.73232194,-73.9550858,16034,Customer,1996,2
